epoch,train_loss,train_acc,val_loss,val_acc,best_val_acc,epoch_time_sec,elapsed_time_sec
1,1.6846503118303087,0.40244444444444444,1.3249402698516846,0.5204,0.5204,5.950022593140602,5.950260475277901
2,1.1484195368978711,0.5906444444444444,1.1793561601638793,0.6146,0.6146,5.602311950176954,12.381731860339642
3,0.913035690636105,0.6814444444444444,0.8321412460327149,0.7002,0.7002,5.581727642565966,18.518612504005432
4,0.773465471066369,0.7318444444444444,0.7084027906417847,0.7576,0.7576,5.647317845374346,24.883800953626633
5,0.6872661847962274,0.7653555555555556,0.6208258882522583,0.7872,0.7872,5.576833542436361,31.069685608148575
6,0.6156639066060384,0.7915777777777778,0.5490646809577941,0.8078,0.8078,5.60018977150321,37.26038124039769
7,0.570190722073449,0.8064444444444444,0.5195402950286865,0.8288,0.8288,5.590383902192116,43.4354914650321
8,0.5262329864290025,0.8208666666666666,0.48607138710021974,0.834,0.834,5.586653098464012,49.67496920004487
9,0.4864946250491672,0.8342666666666667,0.5022137845039367,0.8202,0.834,5.585520748049021,55.72441515699029
10,0.4553283776389228,0.8485777777777778,0.42996680121421815,0.8544,0.8544,5.59769868850708,61.65121575444937
11,0.42398852345148724,0.8559555555555556,0.4314080237865448,0.851,0.8544,5.607512980699539,67.79055147245526
12,0.3931225197898017,0.8676444444444444,0.4463382544517517,0.8526,0.8544,5.623789593577385,73.9322025552392
13,0.37379522035386825,0.8732,0.4544607757568359,0.8526,0.8544,5.620033830404282,79.98601305112243
14,0.3515779447449578,0.882,0.4086086909294128,0.8674,0.8674,5.676207523792982,86.00347659736872
15,0.32736039634280734,0.8880444444444444,0.3866611724615097,0.8734,0.8734,5.628393076360226,92.26409278437495
16,0.30885435583061643,0.8947555555555555,0.36191281914711,0.8808,0.8808,5.623893436044455,98.56246754154563
17,0.2901539739873674,0.9014666666666666,0.3563658989429474,0.8784,0.8808,5.632192812860012,104.93051295354962
18,0.27590074225531686,0.9060222222222222,0.41965667514801025,0.864,0.8808,5.6321212239563465,110.93441966176033
19,0.25629199642075434,0.9120888888888888,0.3390695338010788,0.8856,0.8856,5.646675162017345,116.99442999064922
20,0.24070765810277728,0.9171333333333334,0.3368907788515091,0.8924,0.8924,5.636778146028519,123.2861769348383
21,0.22295091365443337,0.9245333333333333,0.35857566945552827,0.8918,0.8924,5.618975281715393,129.42086942866445
22,0.20847613495985667,0.9286,0.32386242104768753,0.897,0.897,5.650946781039238,135.48484065011144
23,0.1961758833607038,0.9338222222222222,0.33416616669297217,0.8952,0.897,5.635673727840185,141.63718904182315
24,0.18112102614508735,0.9383777777777778,0.34437840242385864,0.8966,0.897,5.636827562004328,147.58451453596354
25,0.17010562983089023,0.9414,0.3180298189163208,0.9018,0.9018,5.603173844516277,153.4645079150796
26,0.15934380136066012,0.9452888888888888,0.32422068374156954,0.9004,0.9018,5.679493524134159,159.67948891595006
27,0.14789813589784834,0.9481777777777778,0.3377749627113342,0.9046,0.9046,5.660978812724352,165.7176934480667
28,0.13588069215284454,0.9530888888888889,0.3345563169538975,0.9004,0.9046,5.621685463935137,171.92496604844928
29,0.1262025838083691,0.9570222222222222,0.33111790902614596,0.903,0.9046,5.616820052266121,177.81534158438444
30,0.11587983102798462,0.9601333333333333,0.3239944350481033,0.906,0.906,5.613707844167948,183.70000795647502
31,0.10719172912571165,0.9628666666666666,0.3308600677967072,0.909,0.909,5.6602520532906055,189.8871245868504
32,0.09887751987775167,0.9663111111111111,0.3367791066288948,0.909,0.909,5.615974258631468,196.30380717664957
33,0.09248046674463484,0.9681555555555555,0.32497134696245195,0.9112,0.9112,5.627212096005678,202.27361735329032
34,0.08430124435689715,0.9705555555555555,0.33295177045762536,0.9144,0.9144,5.647661227732897,208.48700092360377
35,0.07822374413940641,0.9733777777777778,0.3492447108618915,0.9124,0.9144,5.662289470434189,214.67882564291358
36,0.06985739861594306,0.976,0.3388827542066574,0.9136,0.9144,5.628194127231836,220.56050411611795
37,0.06644026823308732,0.9782444444444445,0.35126747666075825,0.9134,0.9144,5.603656034916639,226.42092164605856
38,0.06269351405567593,0.9788444444444444,0.34614237978458406,0.9166,0.9166,5.6456004306674,232.33287085592747
39,0.054191083290841845,0.9815333333333334,0.352788454914093,0.918,0.918,5.669550351798534,238.6337362229824
40,0.05139853510591719,0.9821111111111112,0.3554982624232769,0.9162,0.918,5.642412286251783,244.93366627395153
41,0.047246564226018056,0.9834222222222222,0.3603276333659887,0.9172,0.918,5.62644274905324,250.9022716321051
42,0.04633017979429828,0.9835111111111111,0.35794191270768644,0.92,0.92,5.6400521248579025,256.9673778228462
43,0.041456136092212464,0.9856222222222222,0.3559441646780819,0.9188,0.92,5.659181501716375,263.1664854325354
44,0.041324038948615395,0.9862,0.3581244057714939,0.9172,0.92,5.635694295167923,269.05685697868466
45,0.03755813498695691,0.9870222222222222,0.36132485468685627,0.9198,0.92,5.641798485070467,275.06336384639144
46,0.03744108058015506,0.9870666666666666,0.3608906210795045,0.9206,0.9206,5.631567761301994,280.98765053600073
47,0.03648563413818677,0.9872666666666666,0.362058093072474,0.9202,0.9206,5.638627063483,287.29918705672026
48,0.037064076765709456,0.9874,0.3607528255090117,0.9194,0.9206,5.659227661788464,293.4510977305472
49,0.03454636995461252,0.9881111111111112,0.3614822464734316,0.9216,0.9216,5.643238119781017,299.5864303931594
50,0.034792212631967336,0.9882444444444445,0.3633945509374142,0.9202,0.9216,5.660245530307293,305.851840313524
