epoch,train_loss,train_acc,val_loss,val_acc,best_val_acc,epoch_time_sec,elapsed_time_sec
1,2.004566034973992,0.292,1.5403740844726563,0.4346,0.4346,5.550325509160757,5.550480209290981
2,1.6384397569656373,0.3910444444444444,1.416811626815796,0.4734,0.4734,5.542643327265978,11.775097075849771
3,1.5266762972513834,0.43622222222222223,1.3330332851409912,0.5048,0.5048,5.546421457082033,17.892579328268766
4,1.4506386463589138,0.46726666666666666,1.2583035444259643,0.5394,0.5394,5.614178653806448,24.070426493883133
5,1.3860571936713324,0.4923777777777778,1.1832405708312987,0.5704,0.5704,5.629553601145744,30.24097704142332
6,1.330783658557468,0.5126444444444445,1.1498084033966065,0.586,0.586,5.577934790402651,36.29178284853697
7,1.280034147813585,0.5329555555555555,1.0878860610961913,0.6112,0.6112,5.5706965662539005,42.59378833696246
8,1.2350441890504624,0.5536,1.0436793813705445,0.628,0.628,5.5815520994365215,48.75255585834384
9,1.1893247284995185,0.5686222222222223,1.0033153865814208,0.6392,0.6392,5.561292167752981,54.908483043313026
10,1.1557736749013265,0.5815777777777777,0.9711590906143188,0.6496,0.6496,5.532981637865305,61.37508312985301
11,1.1172247558381823,0.5950222222222222,0.9550373146057128,0.6578,0.6578,5.60106260702014,67.46581226214767
12,1.0900465112686157,0.6072444444444445,0.927281010055542,0.6632,0.6632,5.570133898407221,73.64978397637606
13,1.06544171939426,0.6176666666666667,0.9186904006958008,0.6672,0.6672,5.545006480067968,79.82406616210938
14,1.0410546767128839,0.6233111111111111,0.8769259803771973,0.6822,0.6822,5.592059027403593,85.98058743774891
15,1.0222304079691569,0.6310888888888889,0.8666916635513305,0.6844,0.6844,5.555531017482281,92.18915953487158
16,0.9988362555397882,0.6394444444444445,0.8652346563339234,0.6936,0.6936,5.571377258747816,98.36345491185784
17,0.980474264907837,0.6476,0.837442820930481,0.6998,0.6998,5.548717439174652,104.5547374971211
18,0.9613989540735881,0.6549555555555555,0.8200637239456177,0.7028,0.7028,5.562339946627617,110.5297833904624
19,0.9498712928560045,0.6585555555555556,0.8154298524856567,0.7058,0.7058,5.540052700787783,116.48865912109613
20,0.9301171646330092,0.6671777777777778,0.8102789073944092,0.7074,0.7074,5.575396101921797,122.55816599354148
21,0.926305263264974,0.6676222222222222,0.7912961549758911,0.7148,0.7148,5.570313490927219,128.55654682591558
22,0.9048722973081801,0.6727333333333333,0.7829452222824097,0.7202,0.7202,5.549031876027584,134.6104768626392
23,0.8930046500311958,0.6794222222222223,0.7795994335174561,0.7184,0.7202,5.543401941657066,140.80795737728477
24,0.8783540465460883,0.6872222222222222,0.757971733379364,0.727,0.727,5.5445511639118195,146.77455726638436
25,0.8761467580371433,0.6849333333333333,0.7533074913024902,0.7316,0.7316,5.53824844956398,152.9352489709854
26,0.8603746127870348,0.6910888888888889,0.7460521741867066,0.7352,0.7352,5.5749987587332726,158.9997116290033
27,0.8503996519724528,0.6950666666666667,0.7457391948699951,0.7346,0.7352,5.5446490459144115,165.08147098496556
28,0.8511514442337884,0.6948222222222222,0.7398240001678467,0.7382,0.7382,5.572217412292957,171.06031095981598
29,0.8364227584415012,0.7014444444444444,0.7342350172996521,0.7408,0.7408,5.552626013755798,177.17494927346706
30,0.8326126370959812,0.7007555555555556,0.7232645254135132,0.7424,0.7424,5.526461709290743,183.17944908887148
31,0.8229330202102662,0.7031777777777778,0.7217448667526245,0.7438,0.7438,5.553240340203047,189.0965313501656
32,0.8191141288969251,0.7045333333333333,0.7214603488922119,0.7426,0.7438,5.546206701546907,194.97452705353498
33,0.8139903479894002,0.7092444444444445,0.7095800081253052,0.7476,0.7476,5.5354796797037125,200.72047329694033
34,0.8043306045532227,0.7114666666666667,0.7108584011077881,0.748,0.748,5.582041297107935,206.6838715299964
35,0.8070814373228286,0.7116888888888889,0.7034562869071961,0.747,0.748,5.543762028217316,212.77339915186167
36,0.7972813144365947,0.7170666666666666,0.6981807859420777,0.7508,0.7508,5.574626293033361,218.59497480094433
37,0.7961737133555942,0.7179111111111112,0.6993420819282532,0.75,0.7508,5.521042242646217,224.67387729138136
38,0.7964552224053277,0.7133555555555555,0.6965371911048889,0.7526,0.7526,5.534892413765192,230.39167592301965
39,0.7896243655310736,0.7167333333333333,0.6966094610214233,0.7542,0.7542,5.558213137090206,236.51736061647534
40,0.7886117579248216,0.7184,0.6946452133178711,0.7518,0.7542,5.5531411319971085,242.66110135242343
41,0.7873526138623556,0.7181333333333333,0.6930718188285827,0.7554,0.7554,5.58284005895257,248.5620599873364
42,0.7832496383984884,0.7199777777777778,0.6899869875907898,0.7548,0.7554,5.516934227198362,254.8022001720965
43,0.7867760316954718,0.7199777777777778,0.6884703025817871,0.755,0.7554,5.600446242839098,260.702306650579
44,0.7851436743524339,0.7197111111111111,0.6876196820259094,0.7558,0.7558,5.557374361902475,266.5675518028438
45,0.7812117708418105,0.7206666666666667,0.6895762228012084,0.754,0.7558,5.554396625608206,272.7421614378691
46,0.7802604577382406,0.7199111111111111,0.6878093250274658,0.756,0.756,5.578258939087391,278.5874465443194
47,0.7829534874492221,0.7183333333333334,0.6880169787406921,0.7554,0.756,5.54860120639205,284.73869881406426
48,0.7816247684266832,0.7208222222222223,0.6882024299621582,0.7564,0.7564,5.571098208427429,290.5996422059834
49,0.7827867540041605,0.7191111111111111,0.6872863655090332,0.7544,0.7564,5.59828918799758,296.6690031439066
50,0.7822829984982809,0.7198444444444444,0.6876684369087219,0.7562,0.7564,5.529774438589811,302.4890207052231
