epoch,train_loss,train_acc,val_loss,val_acc,best_val_acc,epoch_time_sec,elapsed_time_sec
1,1.7367741008122761,0.3950666666666667,1.1911556636810303,0.5624,0.5624,4.833971660584211,4.834113147109747
2,1.207050830692715,0.5678888888888889,0.8881073398590088,0.679,0.679,4.8321334309875965,10.12273808941245
3,0.9864470613691542,0.6530222222222222,0.832305417060852,0.7176,0.7176,4.833112072199583,15.679909616708755
4,0.8715115508715312,0.6941333333333334,0.8347119981765747,0.7118,0.7176,4.84722151979804,20.91648543253541
5,0.7860351211335924,0.7242666666666666,0.637130539894104,0.7794,0.7794,4.844473324716091,26.038165628910065
6,0.7229799153751797,0.7486,0.7242987033843994,0.7602,0.7794,4.871396578848362,31.530396714806557
7,0.6691306318283081,0.7689333333333334,0.7581228984832764,0.7412,0.7794,4.856263045221567,36.645103856921196
8,0.6294205080244276,0.7845333333333333,0.5795522804260254,0.797,0.797,4.846475578844547,41.807300858199596
9,0.5904128929138184,0.7975555555555556,0.5096317749500274,0.8228,0.8228,4.827870607376099,47.16064005345106
10,0.5544161647584703,0.8102666666666667,0.5465494339942932,0.8092,0.8228,4.896672107279301,52.62167428433895
11,0.5235385182009803,0.8225333333333333,0.5748232036590576,0.8064,0.8228,4.868213336914778,57.83231848105788
12,0.49475889326731365,0.8316,0.4834543682098389,0.8322,0.8322,4.8295988291502,62.94023823365569
13,0.4696823356734382,0.8383555555555555,0.4607848298549652,0.8382,0.8382,4.854105085134506,68.2723972350359
14,0.44817576926549274,0.8470444444444445,0.5093930309295654,0.827,0.8382,4.842803094536066,73.51508003100753
15,0.4280234665499793,0.8543777777777778,0.47833829402923583,0.8358,0.8382,4.859984736889601,78.56659992039204
16,0.409604310936398,0.8596444444444444,0.3949446819782257,0.8654,0.8654,4.889667417854071,83.62218343093991
17,0.39119225488768683,0.8667777777777778,0.4490114336013794,0.85,0.8654,4.843232698738575,88.87478735670447
18,0.369313350587421,0.8744666666666666,0.3982568007469177,0.8658,0.8658,4.863687414675951,93.94102887064219
19,0.3515456974294451,0.8804666666666666,0.41381344242095947,0.8594,0.8658,4.8266846761107445,99.22491424903274
20,0.33808921405474346,0.8855777777777778,0.4064439603805542,0.866,0.866,4.819124028086662,104.20707870647311
21,0.31979461590449015,0.8908888888888888,0.3914865674972534,0.8672,0.8672,4.86641888692975,109.43412768468261
22,0.3066707419448429,0.8958666666666667,0.36410184240341187,0.8794,0.8794,4.863248981535435,114.66456077620387
23,0.2891333371851179,0.8992666666666667,0.38444170718193055,0.8726,0.8794,4.8462847881019115,119.88331231847405
24,0.2741721565246582,0.9064222222222222,0.38125777196884153,0.8772,0.8794,4.824535243213177,125.09959546104074
25,0.268473295879364,0.9075333333333333,0.3648178413391113,0.8832,0.8832,4.856105271726847,130.1810388751328
26,0.2510981318593025,0.9139555555555555,0.3536455492973328,0.8854,0.8854,4.843332938849926,135.45416912436485
27,0.24267211176554362,0.9169777777777778,0.3444363073348999,0.8862,0.8862,4.854270059615374,140.78775153681636
28,0.226250092792511,0.9221777777777778,0.3658557815551758,0.883,0.8862,4.825272109359503,146.06814324855804
29,0.2134648708873325,0.9256666666666666,0.3519275182247162,0.8888,0.8888,4.816403076052666,151.3721989542246
30,0.20932045249938966,0.9276666666666666,0.35008187584877015,0.8918,0.8918,4.819186702370644,156.54436583817005
31,0.1954301632006963,0.9312888888888889,0.3345234137535095,0.8928,0.8928,4.839176826179028,161.8467733375728
32,0.18734894941912758,0.9347111111111112,0.3512439648628235,0.894,0.894,4.826824571937323,166.9654439985752
33,0.17782964568932852,0.9388666666666666,0.3433723008155823,0.8982,0.8982,4.8426189832389355,172.2195209749043
34,0.16931982503202225,0.9421555555555555,0.3284258490085602,0.8984,0.8984,4.880265358835459,177.55423286184669
35,0.161834498140547,0.9442444444444444,0.33264403071403503,0.8996,0.8996,4.837993003427982,182.87328420579433
36,0.1542123381084866,0.9473333333333334,0.3380250963687897,0.8966,0.8996,4.896331779658794,188.14085450395942
37,0.1440971077720324,0.9489333333333333,0.3433964063644409,0.9014,0.9014,4.819513611495495,193.1468296162784
38,0.14076236323780483,0.9504444444444444,0.32907725887298583,0.9028,0.9028,4.8278866820037365,198.51012809574604
39,0.13186084559758504,0.9538222222222222,0.3397516304016113,0.9026,0.9028,4.850483659654856,203.9557936862111
40,0.12776432110534774,0.9561777777777778,0.3282909505844116,0.908,0.908,4.873899854719639,209.1171840056777
41,0.1248867249376244,0.9571111111111111,0.33142617740631103,0.9044,0.908,4.842040006071329,214.40076614543796
42,0.1201611444261339,0.9587777777777777,0.3324086133003235,0.9046,0.908,4.827064752578735,219.50575293973088
43,0.11666680247584979,0.9601333333333333,0.32858050751686096,0.9068,0.908,4.817112788558006,224.61861507594585
44,0.11720757138464186,0.9595555555555556,0.32764696378707886,0.9076,0.908,4.849422499537468,229.74917858466506
45,0.11074337849749459,0.9609333333333333,0.32606981835365295,0.9072,0.908,4.889810994267464,235.07641694694757
46,0.10943518076870176,0.9620888888888889,0.32421416063308717,0.9074,0.908,4.838064145296812,240.1681410484016
47,0.1077585354950693,0.9625555555555556,0.3255036738395691,0.9072,0.908,4.885117527097464,245.3333136178553
48,0.10197503015597661,0.9645333333333334,0.3276380349159241,0.9076,0.908,4.864792633801699,250.54386186227202
49,0.105322571738561,0.963,0.3277620631217957,0.9078,0.908,4.861968081444502,255.70637211203575
50,0.10708381161689759,0.9633111111111111,0.3268637187004089,0.908,0.908,4.870734799653292,260.86923667788506
