epoch,train_loss,train_acc,val_loss,val_acc,best_val_acc,epoch_time_sec,elapsed_time_sec
1,1.6847454456541273,0.4006222222222222,1.2515932503700256,0.5436,0.5436,5.7090269811451435,5.709165569394827
2,1.148826703092787,0.5878666666666666,1.191825459098816,0.6056,0.6056,5.6732534393668175,12.066029202193022
3,0.9127992219924926,0.6815777777777777,0.7766405101776123,0.7206,0.7206,5.671425625681877,18.312760647386312
4,0.7770304586410522,0.7318,0.6695223776340484,0.769,0.769,5.706847459077835,24.862573597580194
5,0.6899320753627354,0.7657111111111111,0.6265541741371154,0.7804,0.7804,5.664880182594061,31.16884771734476
6,0.6198994160546197,0.7892,0.5657819653511047,0.8034,0.8034,5.719688750803471,37.52608538046479
7,0.5707882921960619,0.8048444444444445,0.5415216681480408,0.8164,0.8164,5.70202349126339,43.82410280033946
8,0.5257726711697048,0.8208888888888889,0.5056499043941498,0.8308,0.8308,5.739339519292116,50.22023378312588
9,0.488162460369534,0.8335777777777778,0.49438198337554934,0.8282,0.8308,5.738918803632259,56.74468356370926
10,0.45651187063852944,0.8473333333333334,0.4871272325515747,0.8372,0.8372,5.686926305294037,62.85155229642987
11,0.42273692026138304,0.8559555555555556,0.46185708103179934,0.8444,0.8444,5.758571550250053,69.33615524694324
12,0.3931641263855828,0.8681333333333333,0.4538660826683044,0.848,0.848,5.671651270240545,75.70806374028325
13,0.373249156220754,0.8736222222222222,0.4356475116729736,0.8548,0.8548,5.712333898991346,82.23185165971518
14,0.3508464148627387,0.8805333333333333,0.41153443496227265,0.8606,0.8606,5.713098112493753,88.7749336361885
15,0.32957196549839446,0.8879333333333334,0.3796586135864258,0.8776,0.8776,5.6814970895648,95.37278414145112
16,0.3115471861653858,0.8954888888888889,0.3410508474111557,0.884,0.884,5.698902942240238,101.75482453405857
17,0.2892374928050571,0.9017777777777778,0.35360198674201965,0.8816,0.884,5.698435917496681,108.0854107066989
18,0.276887000992563,0.9056888888888889,0.37781103849411013,0.8758,0.884,5.677563667297363,114.1754992082715
19,0.25896965969933405,0.9114888888888889,0.3242014946460724,0.8918,0.8918,5.665892608463764,120.11853890120983
20,0.24299707766638862,0.9162666666666667,0.3315790251016617,0.887,0.8918,5.708198636770248,126.42799584567547
21,0.2278660840590795,0.9222666666666667,0.34428170375823974,0.893,0.893,5.674923099577427,132.46499179303646
22,0.21072637017038134,0.9265777777777777,0.32835797147750856,0.8956,0.8956,5.675627611577511,138.79054534435272
23,0.1975107444524765,0.9316888888888889,0.3654794888973236,0.8874,0.8956,5.728012189269066,145.04419986903667
24,0.18395163695017497,0.936,0.32879887347221376,0.9012,0.9012,5.6369950994849205,151.02287658303976
25,0.1729516274213791,0.9416222222222222,0.32238954973220824,0.8956,0.9012,5.667237300425768,157.49863163381815
26,0.15861699233849844,0.9445555555555556,0.3801926603555679,0.89,0.9012,5.721592772752047,163.57730768993497
27,0.14982022972371842,0.9487111111111111,0.32992825973033907,0.9012,0.9012,5.698905430734158,169.72216670960188
28,0.13856519611941442,0.9507555555555556,0.3361623181909323,0.8998,0.9012,5.685791440308094,175.6861962415278
29,0.1279433428419961,0.9562,0.31756993985176085,0.9096,0.9096,5.698079090565443,181.74878954142332
30,0.11789423638979594,0.9595777777777778,0.3294376026630402,0.907,0.9096,5.718992032110691,188.11125813424587
31,0.10874556243287192,0.9623777777777778,0.36685152304172514,0.9034,0.9096,5.702339205890894,194.17768717184663
32,0.10100017767879697,0.9649777777777778,0.3411356524705887,0.9058,0.9096,5.724460914731026,200.2846982292831
33,0.094192936513159,0.9673777777777778,0.3113799236059189,0.9114,0.9114,5.720028053969145,206.3828937932849
34,0.08506788767046398,0.9713333333333334,0.33501707944869996,0.9116,0.9116,5.682772547006607,212.86609521880746
35,0.07945052528513802,0.9717777777777777,0.3497490080356598,0.91,0.9116,5.749223664402962,219.6130381822586
36,0.07309309670395321,0.9747111111111111,0.345869234585762,0.9102,0.9116,5.702011603862047,225.672107424587
37,0.06909477545685239,0.9762222222222222,0.34428738297224043,0.915,0.915,5.673541400581598,231.6433857344091
38,0.06333167200949456,0.9784888888888889,0.3510736918956041,0.915,0.915,5.688024036586285,238.20854495838284
39,0.056952643923627005,0.9797111111111111,0.3589879925966263,0.9114,0.915,5.732711110264063,244.3090778030455
40,0.05108325756655799,0.9823333333333333,0.36514925805926324,0.9172,0.9172,5.703526198863983,250.24714810028672
41,0.046760669599639045,0.9840666666666666,0.36328534350395203,0.9156,0.9172,5.693372588604689,256.69315664842725
42,0.048170378182993995,0.9834666666666667,0.36151873693466186,0.9158,0.9172,5.739802677184343,262.93997628614306
43,0.0441370791706774,0.9850444444444444,0.3635023897945881,0.9156,0.9172,5.6910973116755486,269.12940864264965
44,0.04123704877429538,0.9855111111111111,0.36973998613506553,0.9174,0.9174,5.6941437013447285,275.2539956532419
45,0.04124946378866831,0.9857333333333334,0.3722319952100515,0.9166,0.9174,5.68813643977046,281.52203879877925
46,0.03872686856389046,0.9868888888888889,0.37096783361285923,0.9164,0.9174,5.687207326292992,287.49234499409795
47,0.03772946099208461,0.9873333333333333,0.3720357422977686,0.918,0.918,5.706785023212433,293.5842667594552
48,0.03674199664261606,0.9873777777777778,0.36876592940688135,0.918,0.918,5.683758784085512,299.7219691798091
49,0.03725137018313011,0.9874888888888889,0.36983286756277084,0.9172,0.918,5.68386485055089,305.8619214743376
50,0.0352385435435507,0.9879777777777777,0.3726369689285755,0.9178,0.918,5.6712457202374935,311.86138040199876
