epoch,train_loss,train_acc,val_loss,val_acc,best_val_acc,epoch_time_sec,elapsed_time_sec
1,1.6843795332166884,0.4008,1.2261105363845826,0.5472,0.5472,5.979443442076445,5.979596920311451
2,1.1559089604907566,0.5849777777777778,0.985836510848999,0.6512,0.6512,5.161968842148781,11.889077343046665
3,0.9158814923392402,0.6795333333333333,0.7782478340148926,0.7284,0.7284,5.221759662032127,18.00307183712721
4,0.7796393939971924,0.7299777777777777,0.6840921552658081,0.7666,0.7666,5.168940499424934,23.888624899089336
5,0.6926910584661695,0.7635555555555555,0.6648342596054078,0.7774,0.7774,5.215757559984922,29.93511824309826
6,0.6216776595751444,0.7884,0.6063313106536865,0.7958,0.7958,5.218013901263475,35.90546841546893
7,0.5712376192304823,0.8072222222222222,0.5219113324165344,0.8194,0.8194,5.266972176730633,41.98743320629001
8,0.5245091828028361,0.8209555555555555,0.5047789849281311,0.8336,0.8336,5.266971033066511,48.07460716739297
9,0.4914034912109375,0.8319555555555556,0.4776817445755005,0.8344,0.8344,5.21201092004776,53.93601701408625
10,0.4529395519468519,0.8472,0.4520446137428284,0.8418,0.8418,5.212249960750341,59.724294662475586
11,0.42531835907830134,0.8560222222222222,0.40242211313247683,0.8588,0.8588,5.236698292195797,65.76355592906475
12,0.3991678547170427,0.8654888888888889,0.39407855372428896,0.8672,0.8672,5.215239703655243,71.54611461237073
13,0.37684180766211617,0.8713555555555555,0.4218187413215637,0.8576,0.8672,5.232851535081863,77.45371424779296
14,0.3533361746046278,0.8792222222222222,0.40089621205329895,0.8594,0.8672,5.178676374256611,83.01486874744296
15,0.3289415422704485,0.8877777777777778,0.39925449838638305,0.8714,0.8714,5.210868693888187,88.51325425133109
16,0.3124051125526428,0.8947555555555555,0.3887515296936035,0.871,0.8714,5.220660969614983,94.5032147243619
17,0.29199027938842775,0.9002666666666667,0.36494623312950136,0.8792,0.8792,5.2284272238612175,100.2126462943852
18,0.2738844327317344,0.9064666666666666,0.41977083892822264,0.862,0.8792,5.281488921493292,106.13946944475174
19,0.25738092739317153,0.9106444444444445,0.34114770703315733,0.884,0.884,5.2221271730959415,111.74007505178452
20,0.2383022999684016,0.9191111111111111,0.34595852870941163,0.8908,0.8908,5.232742864638567,117.5510928556323
21,0.2289866835196813,0.9212444444444444,0.3560933386802673,0.8902,0.8908,5.226733937859535,123.58330783620477
22,0.21003470672766367,0.9282222222222222,0.32815304899215697,0.8994,0.8994,5.225144796073437,129.11699798703194
23,0.19576154532697465,0.9327555555555556,0.3311313098669052,0.892,0.8994,5.243020039051771,135.08101696521044
24,0.1830962380833096,0.9360666666666667,0.3658290215015411,0.892,0.8994,5.2350468672811985,140.6251693442464
25,0.17007271864414214,0.9416888888888889,0.3397607445716858,0.895,0.8994,5.188987590372562,146.231401771307
26,0.16152441426912945,0.9446444444444444,0.3276902306318283,0.8998,0.8998,5.244429558515549,151.80301469936967
27,0.146295736085044,0.9487777777777778,0.3223706679344177,0.901,0.901,5.213761109858751,157.83419862017035
28,0.13610062787797716,0.9522666666666667,0.3302176781415939,0.9046,0.9046,5.2705279141664505,163.84002797678113
29,0.12560571953985425,0.957,0.3272117600440979,0.9038,0.9046,5.248384065926075,170.0734224691987
30,0.11347753160264756,0.9609333333333333,0.34663690338134767,0.9038,0.9046,5.220748417079449,175.75096775591373
31,0.10605614640447829,0.9640666666666666,0.3605051978111267,0.9022,0.9046,5.231586940586567,181.37515604496002
32,0.10101818397839864,0.9654,0.3227981010913849,0.9048,0.9048,5.240234941244125,187.02424884587526
33,0.09373082130220202,0.9673333333333334,0.3244321328639984,0.911,0.911,5.270218316465616,192.94495924562216
34,0.08266877551873525,0.9718888888888889,0.3326724416732788,0.9118,0.9118,5.247795823961496,198.8346417248249
35,0.07887670718034108,0.9718,0.34161682806015015,0.9124,0.9124,5.234195686876774,204.75618187710643
36,0.07279803230497572,0.9749333333333333,0.3412536957740784,0.9102,0.9124,5.228580366820097,210.61968648806214
37,0.06738815588951111,0.9764888888888889,0.3316101634979248,0.9178,0.9178,5.265923537313938,216.32584277912974
38,0.06373891682227453,0.9778222222222223,0.34247875719070436,0.915,0.9178,5.25578286498785,222.17142340540886
39,0.05482709187136756,0.9806,0.35713210968971254,0.913,0.9178,5.277587905526161,227.85369167849422
40,0.051147675865226325,0.9820666666666666,0.35663898229599,0.9158,0.9178,5.247326284646988,233.59833957254887
41,0.04701203752358755,0.9837777777777778,0.36006385536193847,0.9172,0.9178,5.247590247541666,239.27416353300214
42,0.04743437189327346,0.9841111111111112,0.35206270618438723,0.9146,0.9178,5.220876235514879,244.78836233913898
43,0.04203527451058229,0.9856,0.35463903608322145,0.9158,0.9178,5.26776472106576,250.49784479662776
44,0.04016298848854171,0.9862888888888889,0.36161054964065553,0.9142,0.9178,5.317867185920477,256.1725332029164
45,0.037467801608641944,0.9867333333333334,0.3600778834819794,0.9164,0.9178,5.253236312419176,261.8357636630535
46,0.03666997019383642,0.9872,0.3595256186008453,0.9188,0.9188,5.2652585953474045,267.4353071972728
47,0.03647466279566288,0.9870666666666666,0.3589209973335266,0.9186,0.9188,5.237638618797064,273.43961622938514
48,0.03332270402941439,0.9887555555555556,0.3636041996002197,0.917,0.9188,5.240912385284901,278.9536136649549
49,0.03454072605288691,0.9880888888888889,0.3629179337501526,0.9182,0.9188,5.304618962109089,284.70368830114603
50,0.03606751928064558,0.9880222222222222,0.36509992637634275,0.918,0.9188,5.272132847458124,290.2906201817095
